    ,symbol  ,name　　　　,moneyincomeratio      ,roe                   ,assetsturnratio       ,incomegrowthratio     ,goodwillequityratio   ,grossprofitmarginratio
1   ,000001  ,平安银行　　　　,0    0.11             ,0    13.52            ,0    0.74             ,0    15.45            ,1    4.15             ,1    38.66            
2   ,000002  ,万科A　　　　　,1    123.54           ,1    20.81            ,0    28.87            ,0    61.42            ,1    0.18             ,1    32.06            
3   ,000004  ,国农科技　　　　,1    117.23           ,0    7.02             ,0    65.51            ,0    270.04           ,1    0.36             ,1    52.15            
4   ,000005  ,世纪星源　　　　,0    86.20            ,0    3.86             ,0    12.98            ,0    45.94            ,1    13.93            ,1    29.06            
5   ,000006  ,深振业A　　　　,0    113.27           ,0    13.72            ,0    23.72            ,0    -32.31           ,1    0.00             ,1    35.18            
6   ,000007  ,全新好　　　　　,0    104.69           ,0    -9.84            ,0    14.60            ,0    -4.94            ,1    6.14             ,1    71.51            
7   ,000008  ,神州高铁　　　　,0    82.65            ,0    7.24             ,0    37.76            ,0    38.82            ,0    37.75            ,1    48.35            
8   ,000009  ,中国宝安　　　　,0    95.66            ,0    8.23             ,0    32.46            ,0    59.65            ,1    8.98             ,1    33.39            
9   ,000010  ,*ST美丽　　　,0    116.37           ,0    -32.68           ,0    21.60            ,0    145.56           ,0    36.16            ,0    19.82            
10  ,000011  ,深物业A　　　　,0    114.06           ,0    18.16            ,0    38.81            ,0    -31.34           ,1    0.00             ,1    50.63            
11  ,000012  ,南玻A　　　　　,1    113.09           ,0    8.79             ,1    53.00            ,0    3.40             ,1    2.80             ,1    24.17            
12  ,000014  ,沙河股份　　　　,0    121.94           ,0    8.04             ,0    25.04            ,0    -73.36           ,1    0.00             ,1    33.06            
13  ,000016  ,深康佳A　　　　,0    96.44            ,0    7.34             ,1    136.63           ,1    79.18            ,1    2.19             ,0    11.51            
14  ,000017  ,深中华A　　　　,0    43.75            ,0    14.01            ,1    244.61           ,0    -11.61           ,1    0.00             ,0    8.74             
15  ,000018  ,*ST神城　　　,0    90.79            ,0    -8.56            ,0    72.75            ,0    -77.71           ,1    4.46             ,0    26.76            
16  ,000019  ,深粮控股　　　　,1    115.56           ,0    1.95             ,0    79.60            ,0    2886.69          ,1    0.03             ,1    23.90            
17  ,000020  ,深华发A　　　　,0    88.79            ,0    0.71             ,1    84.78            ,0    -10.37           ,1    0.00             ,0    12.97            
18  ,000021  ,深科技　　　　　,0    90.43            ,0    5.92             ,1    107.90           ,0    0.98             ,1    0.24             ,0    4.68             
19  ,000023  ,深天地A　　　　,0    88.45            ,0    5.69             ,1    71.55            ,0    36.01            ,1    0.27             ,0    12.84            
20  ,000025  ,特力A　　　　　,1    108.16           ,0    6.13             ,0    34.76            ,0    40.30            ,1    0.00             ,1    24.08            
21  ,000026  ,飞亚达A　　　　,1    113.84           ,0    6.74             ,1    85.28            ,0    8.85             ,1    0.28             ,1    39.82            
22  ,000027  ,深圳能源　　　　,1    110.52           ,0    6.75             ,0    24.45            ,0    42.58            ,1    7.83             ,1    27.57            
23  ,000028  ,国药一致　　　　,1    109.10           ,0    13.98            ,1    199.26           ,0    13.46            ,1    5.78             ,0    9.07             
24  ,000029  ,深深房A　　　　,0    101.66           ,0    12.73            ,0    48.83            ,0    63.54            ,1    0.00             ,1    36.79            
25  ,000030  ,富奥股份　　　　,0    90.31            ,0    14.04            ,1    67.92            ,0    26.39            ,1    0.03             ,1    17.94            
26  ,000031  ,大悦城　　　　　,1    122.87           ,0    13.78            ,0    23.14            ,0    148.39           ,1    2.32             ,1    35.44            
27  ,000032  ,深桑达A　　　　,0    112.52           ,0    4.08             ,1    94.80            ,0    -1.50            ,1    0.00             ,0    16.53            
