,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
0,000001.SZ,000001,平安银行,深圳,银行,19910403,13.0191,11.5466,1.2051,32310853.7997,32310578.2122
1,000002.SZ,000002,万科A,深圳,全国地产,19910129,8.9486,7.9471,1.8067,30221930.3847,25978364.695
2,000004.SZ,000004,国农科技,深圳,生物制药,19910114,,,16.847,167281.5545,164548.3313
3,000005.SZ,000005,世纪星源,深圳,环境保护,19901210,21.6958,17.2809,2.1009,322853.7368,322673.6038
4,000006.SZ,000006,深振业A,深圳,区域地产,19920427,8.1533,8.6627,1.1161,712797.3843,711906.6092
5,000007.SZ,000007,全新好,深圳,酒店餐饮,19920413,,,17.093,310070.9994,276508.4994
6,000008.SZ,000008,神州高铁,北京,运输设备,19920507,29.3434,27.2581,1.3236,953812.8037,889663.4112
7,000009.SZ,000009,中国宝安,深圳,综合类,19910625,57.9109,39.1953,2.2973,1238022.7032,1221041.7019
8,000010.SZ,000010,*ST美丽,深圳,建筑工程,19951027,,,6.5021,286949.1496,182732.7243
9,000011.SZ,000011,深物业A,深圳,区域地产,19920330,9.2204,9.9079,1.6759,546512.8274,482747.8358
10,000012.SZ,000012,南玻A,深圳,玻璃,19920228,30.6726,26.3056,1.4553,1389363.6849,875024.8576
11,000014.SZ,000014,沙河股份,深圳,全国地产,19920602,12.7516,14.0499,2.1642,186173.8876,186173.8876
12,000016.SZ,000016,深康佳A,深圳,家用电器,19920327,24.9992,23.8036,1.2336,1028192.6892,681737.2261
13,000017.SZ,000017,深中华A,深圳,文教休闲,19920331,,,164.4853,239285.009,131493.7575
14,000018.SZ,000018,*ST神城,深圳,装修装饰,19920616,,,,,
15,000019.SZ,000019,深粮控股,深圳,其他商业,19921012,22.7643,10.5122,1.6001,701893.9697,253295.5224
16,000020.SZ,000020,深华发A,深圳,元器件,19920428,920.3751,491.1804,9.2644,303265.6741,194028.1338
17,000021.SZ,000021,深科技,深圳,IT设备,19940202,28.1444,41.2504,2.3088,1491856.9941,1489897.6429
18,000023.SZ,000023,深天地A,深圳,其他建材,19930429,68.8497,25.9333,3.7954,181215.6494,181215.6494
19,000025.SZ,000025,特力A,深圳,汽车服务,19930621,102.3542,77.2817,7.9848,889704.3725,810694.4525
20,000026.SZ,000026,飞亚达A,深圳,其他商业,19930603,19.4214,17.8602,1.3581,357032.9181,287513.3926
21,000027.SZ,000027,深圳能源,深圳,火力发电,19930903,34.8993,13.3939,1.006,2410410.891,2410410.891
22,000028.SZ,000028,国药一致,深圳,医药商业,19930809,15.877,15.4287,1.5438,1922290.1537,1381772.154
23,000029.SZ,000029,深深房A,深圳,区域地产,19930915,,,,,
24,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,9.2413,9.7266,1.2738,814748.45,791946.3915
25,000031.SZ,000031,大悦城,深圳,全国地产,19931008,20.099,9.5722,1.6181,2791293.8103,1289557.0231
26,000032.SZ,000032,深桑达A,深圳,元器件,19931028,54.4048,52.4766,4.099,582226.5023,579498.6769
27,000034.SZ,000034,神州数码,深圳,综合类,19940509,20.2703,15.3152,2.4761,1038663.8492,770935.7943
28,000035.SZ,000035,中国天楹,江苏,环境保护,19940408,74.6085,36.6662,1.5765,1615217.4701,819897.2813
29,000036.SZ,000036,华联控股,深圳,全国地产,19940617,6.0666,7.0046,1.2401,587637.8739,584109.2284
30,000037.SZ,000037,深南电A,深圳,火力发电,19940701,413.5551,,4.0085,796249.3893,447678.9885
31,000038.SZ,000038,深大通,深圳,广告包装,19940808,,,1.9069,540551.8512,237014.0011
32,000039.SZ,000039,中集集团,深圳,轻工机械,19940408,10.3559,20.596,1.0282,3500736.2623,1487327.8604
33,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808,5.9596,,0.4607,666119.4938,475032.6202
34,000042.SZ,000042,中洲控股,深圳,全国地产,19940921,14.824,10.7623,0.8703,662171.8144,659553.6541
35,000043.SZ,000043,中航善达,深圳,房产服务,19940928,16.7088,87.1269,2.9963,1431299.1987,1430938.6707
36,000045.SZ,000045,深纺织A,深圳,元器件,19940815,,,1.4573,377419.7759,338653.1901
37,000046.SZ,000046,泛海控股,北京,全国地产,19940912,24.7853,14.353,1.0076,2307113.0913,2297684.2971
38,000048.SZ,000048,康达尔,深圳,饲料,19941101,21.7076,14.656,7.1197,949477.9934,949329.2349
